smiles,Delta_Gibbs
C=C1C2=C(C=CC(=C2)Cl)NC1=O,-4.3
C1=CC2=C(C(=C1)Cl)C(=C(N2)Cl)Cl,-3.9
CC1=CC2=C(C=C1)C(=C(C=C2)OC)Br,-4.2
CC1=C2C=CC=C3C2=C(C=C1)NC3=O,-4.9
CC1=C(SC2=C1C=C(C=C2)OC)C,-3.7
CC1=CC2=C(C=C1)NC(=C2)C(=C)C,-4.6
C1=CC=C2C=C(C=CC2=C1)OCF,-4.0
CC(=C)C1=CC2=C(N1)C=CC(=C2)Cl,-4.4
CC1=CNC2=C1C=C(C=C2Cl)Cl,-3.8
C1=C(C=C(C2=C1N=C(C(=O)N2)N)Cl)Cl,-4.2
C1=CC(=C2C(=C1C#N)NC(=O)C2=O)Cl,-4.4
C1=CC(=C2C(=C1Cl)C(=CC(=O)N2)O)Cl,-4.1
CC1C(SC2=C(S1)SC(=S)S2)C,-3.0
C1=CC2=CC2=C3C1=CC(=O)C=C3,-4.3
C1=C(C=C(C2=C1SC(=S)N2)Cl)F,-3.6
C=C1C2=C(C=CC(=C2)Cl)NC(=O)S1,-4.2
COC1=C(C2=C(C=C1)SC=C2)Cl,-3.2
C=C1C[C@@H]2CCCC[C@H]2C1,-3.7
C1=CC(=C2C=C(NC2=C1F)I)Cl,-4.1
C1=C(C=C(C2=C1NC(=N2)CCl)Cl)I,-3.7
CCOC1=C(C2=C(S1)C(=CC=C2)S)F,-3.6
COC1=C(C2=CC=CC(=C2S1)C#N)Cl,-3.5
C1=CC2=C(C=C1Cl)NC(=O)C(=N2)Cl,-4.0
C1=CC2=C(C=C1Cl)C=C(C(=O)N2)Cl,-4.2
C1=C(C=C(C2=C1NC(=O)C2=O)I)I,-4.1
C1C[C@H]2C[C@@H]1C3C2C=CC3,-3.4
[2H]C1=CC=C2C=C(C=CC2=C1)OC,-4.0
C12=C(SC(=S)S1)SSS2,-2.4
C1=C(SC2=C1SC(=S)S2)Cl,-2.8
CN1C2=C(C=C(C=C2Br)Cl)C(=O)C1=O,-3.7
CN1C2=C(C=C(C=C2Cl)Br)C(=O)C1=O,-3.7
C12=C(SC(=S)S1)SSC2=S,-2.5
CC1C(C2=C(C1C)C=C(C=C2)C)C,-4.3
COC1SC2=C(S1)SC(=S)S2,-2.6
CC1=C(SC2=C1SC(=S)S2)C,-3.0
C1=C2C(=NC(=C1Cl)Cl)N(C(=O)N2Br)Br,-3.8
C1=C(C=C(C2=C1C(C(=O)N2)(F)F)Br)Br,-4.6
C1CC[C@H]2[C@@H](C1)SC(=S)S2,-3.0
C1CC[C@H]2[C@H](C1)SC(=S)S2,-2.8
C1=C2C(=C(C(=C1Br)Cl)Cl)NC(=O)O2,-4.0
C/C=C\1/C2=CC=CC=C2OC1=S,-3.8
CC1C2=C(CC1(C)C)C=C(C=C2)OC,-4.5
C=C1[C@@H]2CCCC[C@H]2C(=C)S1,-3.4
CC1CSC2=C(S1)SC(=S)S2,-2.7
CC1=CSC2=C1SC(=C2C)OC,-3.1
C1=CC2=C(C=C1Cl)C(=C(N2)C=O)Cl,-4.1
CC1=CCCC2=C1C=C(C(=C2)C)OC,-4.2
COC1SC2=C(S1)SC(=O)S2,-2.7
[2H]C1=CC(=CC2=C1C=CC(=C2)OC)I,-4.2
CC1CC=CC2=C1C=C(C(=C2)C)OC,-4.1
C1CC2[C@@H]3C[C@H](C2C1)C=C3,-3.6
CC1=C(SC2=C1C=CC(=C2Br)OC)C,-3.7
CC1=C(C2=C(C1)C=C(C=C2)OC)Br,-4.0
C1=CC=C2C(=C1)C=C3C2=C(C3=O)Cl,-4.2
C1=CC2=C(C=C1Cl)C=C(C(=O)O2)Cl,-3.9
C1=CC2=C(C(=C1)Cl)NC(=C2Cl)Cl,-3.8
CS1(CC2CCCCC2C1)I,-3.4
C1CC2=C(C1)C3CCC2C3,-3.6
C[C@@H]1[C@H](SC2=C(S1)SC(=S)S2)C,-3.0
CC1=CSC2=C(S1)SC(=S)S2,-3.0
C1C(C(=O)NC2=CC(=C(C=C21)Cl)Cl)Cl,-4.2
CC1=CC2=CC(=C(C=C2NC1=O)Cl)Cl,-4.5
CC1SC2=C(S1)SC(=S)S2,-2.6
C1=CC=C2C(=C(C(=S)O2)C#N)C=C1,-3.7
CC(=C)C1=NC2=CC(=C(C=C2N1)Cl)Cl,-4.2
C=C1CC2CCCCC2C1,-3.6
C1=C(C=C(C2=C1SS(=O)N2)Cl)Cl,-3.9
C1=CC(=C2C(=C1Cl)C(=C(N2)Cl)Cl)Cl,-3.9
C[C@@H]1CCCC2=C1C=C(C(=C2)C)OC,-4.1
C[C@@H]1CC=CC2=C1C=C(C(=C2)C)OC,-4.1
C[C@H]1CCCC2=C1C=C(C(=C2)C)OC,-4.2
C[C@H]1CC=CC2=C1C=C(C(=C2)C)OC,-4.1
C#COC1=CC2=CC=CC=C2C=C1,-4.1
